created_at,updated_at,datetime,zone_key,production,capacity,source
2024-06-02 07:45:06.808850 +00:00,2024-06-02 07:45:06.808850 +00:00,2024-06-02 06:00:00.000000 +00:00,FR,"(549,0,458,,7106,30837,125,2892,,5228,,2033)",,entsoe.eu
2024-06-02 09:06:32.231561 +00:00,2024-06-02 09:06:32.231561 +00:00,2024-06-02 07:00:00.000000 +00:00,FR,"(551,0,462,,6870,31066,125,3596,,3863,,1779)",,entsoe.eu
2024-06-02 09:44:56.598202 +00:00,2024-06-02 09:44:56.598202 +00:00,2024-06-02 08:00:00.000000 +00:00,FR,"(547,0,463,,6603,30796,125,4663,,4036,,1648)",,entsoe.eu
2024-06-02 10:45:10.017060 +00:00,2024-06-02 10:45:10.017060 +00:00,2024-06-02 09:00:00.000000 +00:00,FR,"(550,0,464,,6406,31166,125,5228,,3971,,1929)",,entsoe.eu
2024-06-02 11:44:59.483842 +00:00,2024-06-02 11:44:59.483842 +00:00,2024-06-02 10:00:00.000000 +00:00,FR,"(551,0,466,,6672,31462,125,5697,,3765,,1709)",,entsoe.eu
2024-06-02 12:45:00.866751 +00:00,2024-06-02 12:45:00.866751 +00:00,2024-06-02 11:00:00.000000 +00:00,FR,"(546,0,459,,6523,31062,124,5493,,3569,,2098)",,entsoe.eu
2024-06-02 13:45:16.426065 +00:00,2024-06-02 13:45:16.426065 +00:00,2024-06-02 12:00:00.000000 +00:00,FR,"(547,0,450,,5904,30687,125,5302,,3436,,2368)",,entsoe.eu
2024-06-02 14:45:02.023559 +00:00,2024-06-02 14:45:02.023559 +00:00,2024-06-02 13:00:00.000000 +00:00,FR,"(546,0,433,,5984,29905,125,5505,,3423,,2461)",,entsoe.eu
2024-06-02 15:45:07.146775 +00:00,2024-06-02 15:45:07.146775 +00:00,2024-06-02 14:00:00.000000 +00:00,FR,"(551,0,413,,6113,29777,125,5156,,3512,,2055)",,entsoe.eu
2024-06-02 17:04:57.126014 +00:00,2024-06-02 17:04:57.126014 +00:00,2024-06-02 15:00:00.000000 +00:00,FR,"(547,0,421,,6988,31042,125,4202,,3453,,1467)",,entsoe.eu
2024-06-02 17:44:51.942750 +00:00,2024-06-02 17:44:51.942750 +00:00,2024-06-02 16:00:00.000000 +00:00,FR,"(545,0,414,,7380,32488,125,3989,,4789,,1569)",,entsoe.eu
2024-06-02 18:45:02.047837 +00:00,2024-06-02 18:45:02.047837 +00:00,2024-06-02 17:00:00.000000 +00:00,FR,"(551,0,423,,8079,33589,545,2504,,4975,,-466)",,entsoe.eu
2024-06-02 19:45:05.966293 +00:00,2024-06-02 19:45:05.966293 +00:00,2024-06-02 18:00:00.000000 +00:00,FR,"(551,0,453,,8535,36113,1035,982,,4745,,-1319)",,entsoe.eu
2024-06-02 20:45:06.095098 +00:00,2024-06-02 20:45:06.095098 +00:00,2024-06-02 19:00:00.000000 +00:00,FR,"(553,0,456,,8670,37564,930,351,,4407,,-1254)",,entsoe.eu
2024-06-02 21:44:53.374040 +00:00,2024-06-02 21:44:53.374040 +00:00,2024-06-02 20:00:00.000000 +00:00,FR,"(550,0,465,,8746,37572,786,240,,4073,,-2219)",,entsoe.eu
2024-06-02 22:45:12.406234 +00:00,2024-06-02 22:45:12.406234 +00:00,2024-06-02 21:00:00.000000 +00:00,FR,"(544,0,481,,8365,37910,832,0,,37860,,-1630)",,entsoe.eu
2024-06-02 23:44:56.481968 +00:00,2024-06-02 23:44:56.481968 +00:00,2024-06-02 22:00:00.000000 +00:00,FR,"(541,0,461,,7897,38279,628,0,,37030,,-1990)",,entsoe.eu
2024-06-03 00:45:06.132983 +00:00,2024-06-03 00:45:06.132983 +00:00,2024-06-02 23:00:00.000000 +00:00,FR,"(541,0,444,,7633,38371,125,0,,3498,,-1407)",,entsoe.eu
2024-06-03 01:45:03.488094 +00:00,2024-06-03 01:45:03.488094 +00:00,2024-06-03 00:00:00.000000 +00:00,FR,"(540,0,444,,7214,38253,125,0,,3150,,-23)",,entsoe.eu
2024-06-03 02:44:55.347072 +00:00,2024-06-03 02:44:55.347072 +00:00,2024-06-03 01:00:00.000000 +00:00,FR,"(539,0,442,,6935,38499,125,0,,2850,,1120)",,entsoe.eu
2024-06-03 03:44:52.578113 +00:00,2024-06-03 03:44:52.578113 +00:00,2024-06-03 02:00:00.000000 +00:00,FR,"(545,0,446,,6944,38639,125,0,,2757,,940)",,entsoe.eu
2024-06-03 04:44:59.640223 +00:00,2024-06-03 04:44:59.640223 +00:00,2024-06-03 03:00:00.000000 +00:00,FR,"(546,0,467,,7008,38858,125,0,,2669,,-372)",,entsoe.eu
2024-06-03 05:45:07.693898 +00:00,2024-06-03 05:45:07.693898 +00:00,2024-06-03 04:00:00.000000 +00:00,FR,"(535,0,510,,7591,39277,722,449,,2470,,-1406)",,entsoe.eu
2024-06-03 06:45:04.843272 +00:00,2024-06-03 06:45:04.843272 +00:00,2024-06-03 05:00:00.000000 +00:00,FR,"(533,0,516,,7980,39360,1076,1518,,1988,,-1844)",,entsoe.eu
2024-06-03 07:44:58.392931 +00:00,2024-06-03 07:44:58.392931 +00:00,2024-06-03 06:00:00.000000 +00:00,FR,"(534,0,521,,7801,39565,1069,4132,,1520,,-1487)",,entsoe.eu
2024-06-03 08:45:00.229222 +00:00,2024-06-03 08:45:00.229222 +00:00,2024-06-03 07:00:00.000000 +00:00,FR,"(530,0,519,,7584,39363,867,7054,,1375,,-793)",,entsoe.eu
2024-06-03 09:45:03.904618 +00:00,2024-06-03 09:45:03.904618 +00:00,2024-06-03 08:00:00.000000 +00:00,FR,"(528,0,466,,7486,39524,420,9130,,1420,,-543)",,entsoe.eu
2024-06-03 10:45:06.975950 +00:00,2024-06-03 10:45:06.975950 +00:00,2024-06-03 09:00:00.000000 +00:00,FR,"(530,0,466,,7162,38925,417,10294,,1416,,-244)",,entsoe.eu
2024-06-03 11:45:03.020010 +00:00,2024-06-03 11:45:03.020010 +00:00,2024-06-03 10:00:00.000000 +00:00,FR,"(531,0,468,,7217,38690,413,10927,,1407,,-312)",,entsoe.eu
2024-06-03 12:46:14.449597 +00:00,2024-06-03 12:46:14.449597 +00:00,2024-06-03 11:00:00.000000 +00:00,FR,"(533,0,470,,7157,38483,399,11183,,1462,,177)",,entsoe.eu
2024-06-03 13:45:07.666571 +00:00,2024-06-03 13:45:07.666571 +00:00,2024-06-03 12:00:00.000000 +00:00,FR,"(530,0,469,,7032,37245,397,11244,,1562,,712)",,entsoe.eu
2024-06-03 14:45:00.049133 +00:00,2024-06-03 14:45:00.049133 +00:00,2024-06-03 13:00:00.000000 +00:00,FR,"(530,0,467,,7180,36573,341,10848,,1779,,659)",,entsoe.eu
2024-06-03 15:45:02.155333 +00:00,2024-06-03 15:45:02.155333 +00:00,2024-06-03 14:00:00.000000 +00:00,FR,"(538,0,458,,7297,36578,335,10068,,1920,,637)",,entsoe.eu
2024-06-03 16:45:10.777077 +00:00,2024-06-03 16:45:10.777077 +00:00,2024-06-03 15:00:00.000000 +00:00,FR,"(540,0,459,,7559,37568,336,8399,,2024,,1095)",,entsoe.eu
2024-06-03 17:49:23.512949 +00:00,2024-06-03 17:49:23.512949 +00:00,2024-06-03 16:00:00.000000 +00:00,FR,"(532,0,458,,8245,38104,336,5843,,2088,,633)",,entsoe.eu
2024-06-03 18:45:03.094457 +00:00,2024-06-03 18:45:03.094457 +00:00,2024-06-03 17:00:00.000000 +00:00,FR,"(540,0,457,,8881,38931,337,3078,,2146,,-1143)",,entsoe.eu
2024-06-03 19:44:52.887101 +00:00,2024-06-03 19:44:52.887101 +00:00,2024-06-03 18:00:00.000000 +00:00,FR,"(543,0,469,,9072,39203,340,1128,,1978,,-2590)",,entsoe.eu
2024-06-03 20:45:11.509805 +00:00,2024-06-03 20:45:11.509805 +00:00,2024-06-03 19:00:00.000000 +00:00,FR,"(542,0,490,,9345,39282,143,368,,1955,,-2570)",,entsoe.eu
2024-06-03 21:45:11.180842 +00:00,2024-06-03 21:45:11.180842 +00:00,2024-06-03 20:00:00.000000 +00:00,FR,"(540,0,491,,9262,39193,126,242,,1989,,-2233)",,entsoe.eu
2024-06-03 22:45:01.422048 +00:00,2024-06-03 22:45:01.422048 +00:00,2024-06-03 21:00:00.000000 +00:00,FR,"(537,0,464,,9420,39495,126,0,,1861,,-2281)",,entsoe.eu
2024-06-03 23:44:59.002823 +00:00,2024-06-03 23:44:59.002823 +00:00,2024-06-03 22:00:00.000000 +00:00,FR,"(537,0,460,,9088,39535,125,0,,1632,,-2290)",,entsoe.eu
2024-06-04 00:44:59.153821 +00:00,2024-06-04 00:44:59.153821 +00:00,2024-06-03 23:00:00.000000 +00:00,FR,"(546,0,469,,8965,39840,125,0,,1417,,-1470)",,entsoe.eu
2024-06-04 01:44:47.055303 +00:00,2024-06-04 01:44:47.055303 +00:00,2024-06-04 00:00:00.000000 +00:00,FR,"(540,0,472,,8747,39443,125,0,,1195,,-1305)",,entsoe.eu
2024-06-04 02:44:55.710598 +00:00,2024-06-04 02:44:55.710598 +00:00,2024-06-04 01:00:00.000000 +00:00,FR,"(541,0,474,,8329,39144,125,0,,1054,,-763)",,entsoe.eu
2024-06-04 03:44:59.883749 +00:00,2024-06-04 03:44:59.883749 +00:00,2024-06-04 02:00:00.000000 +00:00,FR,"(538,0,469,,8060,39109,125,0,,985,,-467)",,entsoe.eu
2024-06-04 04:45:15.033595 +00:00,2024-06-04 04:45:15.033595 +00:00,2024-06-04 03:00:00.000000 +00:00,FR,"(538,0,450,,8155,39776,125,0,,970,,-895)",,entsoe.eu
2024-06-04 05:45:38.157541 +00:00,2024-06-04 05:45:38.157541 +00:00,2024-06-04 04:00:00.000000 +00:00,FR,"(536,0,428,,8273,39514,125,494,,985,,-1020)",,entsoe.eu
2024-06-04 06:45:22.612740 +00:00,2024-06-04 06:45:22.612740 +00:00,2024-06-04 05:00:00.000000 +00:00,FR,"(534,0,426,,8683,39569,125,1676,,1050,,-1993)",,entsoe.eu
2024-06-04 07:46:21.871992 +00:00,2024-06-04 07:46:21.871992 +00:00,2024-06-04 06:00:00.000000 +00:00,FR,"(528,0,432,,8285,39565,126,4151,,983,,-1591)",,entsoe.eu
2024-06-04 08:45:09.422973 +00:00,2024-06-04 08:45:09.422973 +00:00,2024-06-04 07:00:00.000000 +00:00,FR,"(532,0,456,,8069,39652,125,7055,,901,,-1416)",,entsoe.eu
2024-06-04 09:45:00.936167 +00:00,2024-06-04 09:45:00.936167 +00:00,2024-06-04 08:00:00.000000 +00:00,FR,"(529,0,454,,7568,39308,125,9680,,923,,-500)",,entsoe.eu
2024-06-04 10:44:59.662673 +00:00,2024-06-04 10:44:59.662673 +00:00,2024-06-04 09:00:00.000000 +00:00,FR,"(531,0,451,,7443,38890,125,11414,,1104,,-45)",,entsoe.eu
2024-06-04 11:45:11.466584 +00:00,2024-06-04 11:45:11.466584 +00:00,2024-06-04 10:00:00.000000 +00:00,FR,"(527,0,450,,7341,38645,125,12416,,1436,,-132)",,entsoe.eu
2024-06-04 12:44:57.265797 +00:00,2024-06-04 12:44:57.265797 +00:00,2024-06-04 11:00:00.000000 +00:00,FR,"(527,0,448,,7376,36303,125,12608,,1879,,-232)",,entsoe.eu
2024-06-04 13:45:27.304131 +00:00,2024-06-04 13:45:27.304131 +00:00,2024-06-04 12:00:00.000000 +00:00,FR,"(529,0,456,,6752,35127,125,11988,,2276,,-555)",,entsoe.eu
2024-06-04 14:45:13.336599 +00:00,2024-06-04 14:45:13.336599 +00:00,2024-06-04 13:00:00.000000 +00:00,FR,"(532,0,451,,6915,35023,125,10255,,357,,-1382)",,entsoe.eu
2024-06-04 15:45:00.656978 +00:00,2024-06-04 15:45:00.656978 +00:00,2024-06-04 14:00:00.000000 +00:00,FR,"(530,0,472,,6945,34055,125,10185,,2678,,-73)",,entsoe.eu
2024-06-04 16:45:05.989105 +00:00,2024-06-04 16:45:05.989105 +00:00,2024-06-04 15:00:00.000000 +00:00,FR,"(534,0,483,,7287,34231,125,8525,,3354,,533)",,entsoe.eu
