created_at,updated_at,datetime,zone_key,production,capacity,source
2024-06-02 09:06:32.231561 +00:00,2024-06-02 09:06:32.231561 +00:00,2024-06-02 07:00:00.000000 +00:00,DK-DK1,"(65,45,55,,1,,9,913,1,1295,,)",,entsoe.eu
2024-06-02 10:05:14.733273 +00:00,2024-06-02 10:05:14.733273 +00:00,2024-06-02 08:00:00.000000 +00:00,DK-DK1,"(65,45,46,,1,,9,1294,1,1371,,)",,entsoe.eu
2024-06-02 11:05:24.331530 +00:00,2024-06-02 11:05:24.331530 +00:00,2024-06-02 09:00:00.000000 +00:00,DK-DK1,"(65,45,46,,1,,9,1697,1,1382,,)",,entsoe.eu
2024-06-02 12:04:55.103674 +00:00,2024-06-02 12:04:55.103674 +00:00,2024-06-02 10:00:00.000000 +00:00,DK-DK1,"(75,39,43,,1,,8,1881,1,1371,,)",,entsoe.eu
2024-06-02 13:05:46.973094 +00:00,2024-06-02 13:05:46.973094 +00:00,2024-06-02 11:00:00.000000 +00:00,DK-DK1,"(86,39,49,,1,,7,1427,1,1298,,)",,entsoe.eu
2024-06-02 14:05:11.444604 +00:00,2024-06-02 14:05:11.444604 +00:00,2024-06-02 12:00:00.000000 +00:00,DK-DK1,"(86,38,53,,1,,7,1159,1,660,,)",,entsoe.eu
2024-06-02 15:05:15.458619 +00:00,2024-06-02 15:05:15.458619 +00:00,2024-06-02 13:00:00.000000 +00:00,DK-DK1,"(91,38,46,,1,,7,1060,1,709,,)",,entsoe.eu
2024-06-02 16:05:02.576358 +00:00,2024-06-02 16:05:02.576358 +00:00,2024-06-02 14:00:00.000000 +00:00,DK-DK1,"(76,38,42,,1,,7,1216,1,1170,,)",,entsoe.eu
2024-06-02 17:04:57.126014 +00:00,2024-06-02 17:04:57.126014 +00:00,2024-06-02 15:00:00.000000 +00:00,DK-DK1,"(73,41,45,,1,,8,1292,1,1862,,)",,entsoe.eu
2024-06-02 18:05:08.589406 +00:00,2024-06-02 18:05:08.589406 +00:00,2024-06-02 16:00:00.000000 +00:00,DK-DK1,"(64,45,48,,1,,9,876,1,2128,,)",,entsoe.eu
2024-06-02 19:05:12.155291 +00:00,2024-06-02 19:05:12.155291 +00:00,2024-06-02 17:00:00.000000 +00:00,DK-DK1,"(64,45,53,,1,,9,444,1,2258,,)",,entsoe.eu
2024-06-02 20:04:54.867771 +00:00,2024-06-02 20:04:54.867771 +00:00,2024-06-02 18:00:00.000000 +00:00,DK-DK1,"(63,47,55,,1,,9,172,1,2477,,)",,entsoe.eu
2024-06-02 21:05:06.366178 +00:00,2024-06-02 21:05:06.366178 +00:00,2024-06-02 19:00:00.000000 +00:00,DK-DK1,"(62,46,55,,1,,9,29,1,2709,,)",,entsoe.eu
2024-06-02 22:05:00.536187 +00:00,2024-06-02 22:05:00.536187 +00:00,2024-06-02 20:00:00.000000 +00:00,DK-DK1,"(65,48,56,,1,,9,0,1,2641,,)",,entsoe.eu
2024-06-02 23:04:58.484202 +00:00,2024-06-02 23:04:58.484202 +00:00,2024-06-02 21:00:00.000000 +00:00,DK-DK1,"(65,48,56,,1,,9,0,1,2578,,)",,entsoe.eu
2024-06-03 00:05:02.451342 +00:00,2024-06-03 00:05:02.451342 +00:00,2024-06-02 22:00:00.000000 +00:00,DK-DK1,"(64,46,52,,1,,9,0,1,2620,,)",,entsoe.eu
2024-06-03 01:05:12.697628 +00:00,2024-06-03 01:05:12.697628 +00:00,2024-06-02 23:00:00.000000 +00:00,DK-DK1,"(65,47,51,,1,,9,0,1,2661,,)",,entsoe.eu
2024-06-03 02:05:02.164483 +00:00,2024-06-03 02:05:02.164483 +00:00,2024-06-03 00:00:00.000000 +00:00,DK-DK1,"(66,47,51,,1,,9,0,1,2592,,)",,entsoe.eu
2024-06-03 03:05:08.237993 +00:00,2024-06-03 03:05:08.237993 +00:00,2024-06-03 01:00:00.000000 +00:00,DK-DK1,"(75,43,47,,1,,8,0,1,2624,,)",,entsoe.eu
2024-06-03 04:05:03.477998 +00:00,2024-06-03 04:05:03.477998 +00:00,2024-06-03 02:00:00.000000 +00:00,DK-DK1,"(62,46,48,,1,,9,1,1,2681,,)",,entsoe.eu
2024-06-03 05:05:10.333288 +00:00,2024-06-03 05:05:10.333288 +00:00,2024-06-03 03:00:00.000000 +00:00,DK-DK1,"(54,67,47,,1,,8,45,1,2739,,)",,entsoe.eu
2024-06-03 06:04:56.547843 +00:00,2024-06-03 06:04:56.547843 +00:00,2024-06-03 04:00:00.000000 +00:00,DK-DK1,"(53,133,54,,1,,9,186,1,2651,,)",,entsoe.eu
2024-06-03 07:05:04.825313 +00:00,2024-06-03 07:05:04.825313 +00:00,2024-06-03 05:00:00.000000 +00:00,DK-DK1,"(56,256,114,,1,,28,328,1,2679,,)",,entsoe.eu
2024-06-03 08:04:55.536646 +00:00,2024-06-03 08:04:55.536646 +00:00,2024-06-03 06:00:00.000000 +00:00,DK-DK1,"(55,325,59,,1,,9,480,1,2586,,)",,entsoe.eu
2024-06-03 09:05:11.466260 +00:00,2024-06-03 09:05:11.466260 +00:00,2024-06-03 07:00:00.000000 +00:00,DK-DK1,"(48,218,52,,1,,9,614,1,2537,,)",,entsoe.eu
2024-06-03 10:05:09.160258 +00:00,2024-06-03 10:05:09.160258 +00:00,2024-06-03 08:00:00.000000 +00:00,DK-DK1,"(47,198,53,,1,,9,740,1,2500,,)",,entsoe.eu
2024-06-03 11:05:07.062975 +00:00,2024-06-03 11:05:07.062975 +00:00,2024-06-03 09:00:00.000000 +00:00,DK-DK1,"(48,224,51,,1,,9,647,1,2397,,)",,entsoe.eu
2024-06-03 12:05:07.733463 +00:00,2024-06-03 12:05:07.733463 +00:00,2024-06-03 10:00:00.000000 +00:00,DK-DK1,"(49,305,114,,1,,12,632,1,2324,,)",,entsoe.eu
2024-06-03 13:05:04.700738 +00:00,2024-06-03 13:05:04.700738 +00:00,2024-06-03 11:00:00.000000 +00:00,DK-DK1,"(48,165,52,,1,,9,745,1,2405,,)",,entsoe.eu
2024-06-03 14:05:08.941663 +00:00,2024-06-03 14:05:08.941663 +00:00,2024-06-03 12:00:00.000000 +00:00,DK-DK1,"(46,44,48,,1,,8,871,1,2501,,)",,entsoe.eu
2024-06-03 15:05:04.592218 +00:00,2024-06-03 15:05:04.592218 +00:00,2024-06-03 13:00:00.000000 +00:00,DK-DK1,"(56,40,44,,1,,8,1086,1,2521,,)",,entsoe.eu
2024-06-03 16:05:07.897734 +00:00,2024-06-03 16:05:07.897734 +00:00,2024-06-03 14:00:00.000000 +00:00,DK-DK1,"(47,49,64,,1,,9,1155,1,2501,,)",,entsoe.eu
2024-06-03 17:04:53.214494 +00:00,2024-06-03 17:04:53.214494 +00:00,2024-06-03 15:00:00.000000 +00:00,DK-DK1,"(54,49,53,,1,,9,1010,1,2429,,)",,entsoe.eu
2024-06-03 18:05:03.570613 +00:00,2024-06-03 18:05:03.570613 +00:00,2024-06-03 16:00:00.000000 +00:00,DK-DK1,"(59,48,54,,1,,9,727,1,2337,,)",,entsoe.eu
2024-06-03 19:04:57.192672 +00:00,2024-06-03 19:04:57.192672 +00:00,2024-06-03 17:00:00.000000 +00:00,DK-DK1,"(68,57,63,,1,,9,405,1,2205,,)",,entsoe.eu
2024-06-03 20:05:06.438345 +00:00,2024-06-03 20:05:06.438345 +00:00,2024-06-03 18:00:00.000000 +00:00,DK-DK1,"(74,117,71,,1,,8,160,1,2103,,)",,entsoe.eu
2024-06-03 21:05:03.673774 +00:00,2024-06-03 21:05:03.673774 +00:00,2024-06-03 19:00:00.000000 +00:00,DK-DK1,"(67,154,77,,1,,9,40,1,1819,,)",,entsoe.eu
2024-06-03 22:05:08.373051 +00:00,2024-06-03 22:05:08.373051 +00:00,2024-06-03 20:00:00.000000 +00:00,DK-DK1,"(86,168,51,,1,,8,1,1,1515,,)",,entsoe.eu
2024-06-03 23:05:02.955652 +00:00,2024-06-03 23:05:02.955652 +00:00,2024-06-03 21:00:00.000000 +00:00,DK-DK1,"(83,170,45,,1,,8,0,1,1301,,)",,entsoe.eu
2024-06-04 00:04:54.891183 +00:00,2024-06-04 00:04:54.891183 +00:00,2024-06-03 22:00:00.000000 +00:00,DK-DK1,"(69,233,50,,1,,9,0,1,1148,,)",,entsoe.eu
2024-06-04 01:05:07.597212 +00:00,2024-06-04 01:05:07.597212 +00:00,2024-06-03 23:00:00.000000 +00:00,DK-DK1,"(69,241,49,,1,,9,0,1,994,,)",,entsoe.eu
2024-06-04 02:05:35.245984 +00:00,2024-06-04 02:05:35.245984 +00:00,2024-06-04 00:00:00.000000 +00:00,DK-DK1,"(70,267,52,,1,,9,0,1,852,,)",,entsoe.eu
2024-06-04 03:05:36.661922 +00:00,2024-06-04 03:05:36.661922 +00:00,2024-06-04 01:00:00.000000 +00:00,DK-DK1,"(70,252,53,,1,,9,0,1,755,,)",,entsoe.eu
2024-06-04 04:05:01.411997 +00:00,2024-06-04 04:05:01.411997 +00:00,2024-06-04 02:00:00.000000 +00:00,DK-DK1,"(67,242,53,,1,,9,3,1,627,,)",,entsoe.eu
2024-06-04 05:05:01.508809 +00:00,2024-06-04 05:05:01.508809 +00:00,2024-06-04 03:00:00.000000 +00:00,DK-DK1,"(60,259,62,,1,,10,51,1,539,,)",,entsoe.eu
2024-06-04 06:05:05.539128 +00:00,2024-06-04 06:05:05.539128 +00:00,2024-06-04 04:00:00.000000 +00:00,DK-DK1,"(70,295,74,,1,,10,190,1,569,,)",,entsoe.eu
2024-06-04 07:05:02.730756 +00:00,2024-06-04 07:05:02.730756 +00:00,2024-06-04 05:00:00.000000 +00:00,DK-DK1,"(70,403,87,,1,,10,432,1,573,,)",,entsoe.eu
2024-06-04 08:05:07.792945 +00:00,2024-06-04 08:05:07.792945 +00:00,2024-06-04 06:00:00.000000 +00:00,DK-DK1,"(81,247,90,,1,,10,761,1,631,,)",,entsoe.eu
2024-06-04 09:05:33.765532 +00:00,2024-06-04 09:05:33.765532 +00:00,2024-06-04 07:00:00.000000 +00:00,DK-DK1,"(83,246,75,,1,,8,985,1,800,,)",,entsoe.eu
2024-06-04 10:05:21.194906 +00:00,2024-06-04 10:05:21.194906 +00:00,2024-06-04 08:00:00.000000 +00:00,DK-DK1,"(81,273,55,,1,,9,1140,1,1063,,)",,entsoe.eu
2024-06-04 11:05:19.843640 +00:00,2024-06-04 11:05:19.843640 +00:00,2024-06-04 09:00:00.000000 +00:00,DK-DK1,"(64,220,47,,1,,8,1215,1,1310,,)",,entsoe.eu
2024-06-04 12:05:38.556777 +00:00,2024-06-04 12:05:38.556777 +00:00,2024-06-04 10:00:00.000000 +00:00,DK-DK1,"(71,302,68,,1,,9,1203,1,1501,,)",,entsoe.eu
2024-06-04 13:05:13.519755 +00:00,2024-06-04 13:05:13.519755 +00:00,2024-06-04 11:00:00.000000 +00:00,DK-DK1,"(79,273,97,,1,,13,1253,1,1954,,)",,entsoe.eu
2024-06-04 14:04:57.958690 +00:00,2024-06-04 14:04:57.958690 +00:00,2024-06-04 12:00:00.000000 +00:00,DK-DK1,"(68,154,47,,1,,8,1156,1,2283,,)",,entsoe.eu
2024-06-04 15:05:06.443381 +00:00,2024-06-04 15:05:06.443381 +00:00,2024-06-04 13:00:00.000000 +00:00,DK-DK1,"(72,165,44,,1,,8,875,1,2412,,)",,entsoe.eu
2024-06-04 16:05:40.120701 +00:00,2024-06-04 16:05:40.120701 +00:00,2024-06-04 14:00:00.000000 +00:00,DK-DK1,"(73,283,44,,1,,8,635,1,2319,,)",,entsoe.eu
2024-06-04 17:05:00.724924 +00:00,2024-06-04 17:05:00.724924 +00:00,2024-06-04 15:00:00.000000 +00:00,DK-DK1,"(75,312,98,,1,,11,487,1,2451,,)",,entsoe.eu
2024-06-04 18:05:15.434822 +00:00,2024-06-04 18:05:15.434822 +00:00,2024-06-04 16:00:00.000000 +00:00,DK-DK1,"(76,206,54,,1,,8,336,1,2523,,)",,entsoe.eu
2024-06-04 19:05:08.784288 +00:00,2024-06-04 19:05:08.784288 +00:00,2024-06-04 17:00:00.000000 +00:00,DK-DK1,"(77,230,62,,1,,8,214,1,2504,,)",,entsoe.eu
2024-06-04 20:04:56.598239 +00:00,2024-06-04 20:04:56.598239 +00:00,2024-06-04 18:00:00.000000 +00:00,DK-DK1,"(91,258,62,,1,,8,75,1,2453,,)",,entsoe.eu
2024-06-04 21:05:09.583889 +00:00,2024-06-04 21:05:09.583889 +00:00,2024-06-04 19:00:00.000000 +00:00,DK-DK1,"(91,244,63,,1,,8,8,1,2429,,)",,entsoe.eu
2024-06-04 22:05:02.259748 +00:00,2024-06-04 22:05:02.259748 +00:00,2024-06-04 20:00:00.000000 +00:00,DK-DK1,"(93,276,98,,1,,11,0,1,2741,,)",,entsoe.eu
2024-06-04 23:05:09.022421 +00:00,2024-06-04 23:05:09.022421 +00:00,2024-06-04 21:00:00.000000 +00:00,DK-DK1,"(73,153,50,,1,,8,0,1,3042,,)",,entsoe.eu
2024-06-05 00:05:10.259046 +00:00,2024-06-05 00:05:10.259046 +00:00,2024-06-04 22:00:00.000000 +00:00,DK-DK1,"(68,151,45,,1,,8,0,1,3208,,)",,entsoe.eu
2024-06-05 01:04:59.951789 +00:00,2024-06-05 01:04:59.951789 +00:00,2024-06-04 23:00:00.000000 +00:00,DK-DK1,"(69,159,46,,1,,8,0,1,3102,,)",,entsoe.eu
2024-06-05 02:05:01.747191 +00:00,2024-06-05 02:05:01.747191 +00:00,2024-06-05 00:00:00.000000 +00:00,DK-DK1,"(71,163,45,,1,,8,0,1,3047,,)",,entsoe.eu
2024-06-05 03:04:58.147378 +00:00,2024-06-05 03:04:58.147378 +00:00,2024-06-05 01:00:00.000000 +00:00,DK-DK1,"(69,161,45,,1,,8,0,1,3146,,)",,entsoe.eu
2024-06-05 04:05:00.565458 +00:00,2024-06-05 04:05:00.565458 +00:00,2024-06-05 02:00:00.000000 +00:00,DK-DK1,"(70,156,47,,1,,8,0,1,3159,,)",,entsoe.eu
2024-06-05 05:05:02.324687 +00:00,2024-06-05 05:05:02.324687 +00:00,2024-06-05 03:00:00.000000 +00:00,DK-DK1,"(70,173,51,,1,,8,18,1,2973,,)",,entsoe.eu
2024-06-05 06:05:34.872040 +00:00,2024-06-05 06:05:34.872040 +00:00,2024-06-05 04:00:00.000000 +00:00,DK-DK1,"(75,157,56,,1,,9,136,1,2955,,)",,entsoe.eu
2024-06-05 07:05:28.525317 +00:00,2024-06-05 07:05:28.525317 +00:00,2024-06-05 05:00:00.000000 +00:00,DK-DK1,"(74,156,56,,1,,9,475,1,3237,,)",,entsoe.eu
2024-06-05 08:05:09.681794 +00:00,2024-06-05 08:05:09.681794 +00:00,2024-06-05 06:00:00.000000 +00:00,DK-DK1,"(67,188,55,,1,,9,966,1,3279,,)",,entsoe.eu
2024-06-05 09:05:16.545104 +00:00,2024-06-05 09:05:16.545104 +00:00,2024-06-05 07:00:00.000000 +00:00,DK-DK1,"(66,156,48,,1,,9,1289,1,3665,,)",,entsoe.eu
2024-06-05 10:05:03.760411 +00:00,2024-06-05 10:05:03.760411 +00:00,2024-06-05 08:00:00.000000 +00:00,DK-DK1,"(69,161,47,,1,,9,1585,1,3526,,)",,entsoe.eu
2024-06-05 11:05:21.809446 +00:00,2024-06-05 11:05:21.809446 +00:00,2024-06-05 09:00:00.000000 +00:00,DK-DK1,"(72,173,47,,1,,9,1581,1,3212,,)",,entsoe.eu
2024-06-05 12:05:18.831471 +00:00,2024-06-05 12:05:18.831471 +00:00,2024-06-05 10:00:00.000000 +00:00,DK-DK1,"(84,178,41,,1,,7,1453,1,2916,,)",,entsoe.eu
2024-06-05 13:04:58.984705 +00:00,2024-06-05 13:04:58.984705 +00:00,2024-06-05 11:00:00.000000 +00:00,DK-DK1,"(82,154,46,,1,,7,1422,1,2802,,)",,entsoe.eu
2024-06-05 14:05:21.534442 +00:00,2024-06-05 14:05:21.534442 +00:00,2024-06-05 12:00:00.000000 +00:00,DK-DK1,"(82,151,52,,1,,8,1305,1,2713,,)",,entsoe.eu
2024-06-05 15:05:00.771847 +00:00,2024-06-05 15:05:00.771847 +00:00,2024-06-05 13:00:00.000000 +00:00,DK-DK1,"(83,150,48,,1,,7,1227,1,2428,,)",,entsoe.eu
2024-06-05 16:05:32.931141 +00:00,2024-06-05 16:05:32.931141 +00:00,2024-06-05 14:00:00.000000 +00:00,DK-DK1,"(82,152,53,,1,,8,1008,1,2615,,)",,entsoe.eu
2024-06-05 17:05:18.277007 +00:00,2024-06-05 17:05:18.277007 +00:00,2024-06-05 15:00:00.000000 +00:00,DK-DK1,"(82,151,53,,1,,8,827,1,2548,,)",,entsoe.eu
2024-06-05 18:05:05.372150 +00:00,2024-06-05 18:05:05.372150 +00:00,2024-06-05 16:00:00.000000 +00:00,DK-DK1,"(93,160,47,,1,,8,730,1,2307,,)",,entsoe.eu
2024-06-05 19:05:04.847994 +00:00,2024-06-05 19:05:04.847994 +00:00,2024-06-05 17:00:00.000000 +00:00,DK-DK1,"(91,298,76,,1,,9,392,1,1892,,)",,entsoe.eu
2024-06-05 20:05:16.057258 +00:00,2024-06-05 20:05:16.057258 +00:00,2024-06-05 18:00:00.000000 +00:00,DK-DK1,"(84,227,77,,1,,9,170,1,1856,,)",,entsoe.eu
2024-06-05 21:05:09.460674 +00:00,2024-06-05 21:05:09.460674 +00:00,2024-06-05 19:00:00.000000 +00:00,DK-DK1,"(73,202,83,,1,,10,37,1,1752,,)",,entsoe.eu
2024-06-05 22:05:01.854205 +00:00,2024-06-05 22:05:01.854205 +00:00,2024-06-05 20:00:00.000000 +00:00,DK-DK1,"(82,281,81,,1,,10,0,1,1657,,)",,entsoe.eu
2024-06-05 23:06:51.849478 +00:00,2024-06-05 23:06:51.849478 +00:00,2024-06-05 21:00:00.000000 +00:00,DK-DK1,"(88,224,77,,1,,10,0,1,1937,,)",,entsoe.eu
2024-06-06 00:04:58.259918 +00:00,2024-06-06 00:04:58.259918 +00:00,2024-06-05 22:00:00.000000 +00:00,DK-DK1,"(86,298,55,,1,,9,0,1,1724,,)",,entsoe.eu
2024-06-06 01:04:59.921001 +00:00,2024-06-06 01:04:59.921001 +00:00,2024-06-05 23:00:00.000000 +00:00,DK-DK1,"(86,206,50,,1,,9,0,1,1896,,)",,entsoe.eu
2024-06-06 02:05:01.518020 +00:00,2024-06-06 02:05:01.518020 +00:00,2024-06-06 00:00:00.000000 +00:00,DK-DK1,"(90,225,48,,1,,9,0,1,1766,,)",,entsoe.eu
2024-06-06 03:05:02.686935 +00:00,2024-06-06 03:05:02.686935 +00:00,2024-06-06 01:00:00.000000 +00:00,DK-DK1,"(84,231,49,,1,,9,0,1,1572,,)",,entsoe.eu
2024-06-06 04:05:00.863982 +00:00,2024-06-06 04:05:00.863982 +00:00,2024-06-06 02:00:00.000000 +00:00,DK-DK1,"(73,228,49,,1,,9,3,1,1577,,)",,entsoe.eu
2024-06-06 05:05:01.953904 +00:00,2024-06-06 05:05:01.953904 +00:00,2024-06-06 03:00:00.000000 +00:00,DK-DK1,"(71,226,52,,1,,8,70,1,1649,,)",,entsoe.eu
2024-06-06 06:05:10.010917 +00:00,2024-06-06 06:05:10.010917 +00:00,2024-06-06 04:00:00.000000 +00:00,DK-DK1,"(69,246,53,,1,,8,228,1,1581,,)",,entsoe.eu
2024-06-06 07:05:04.175199 +00:00,2024-06-06 07:05:04.175199 +00:00,2024-06-06 05:00:00.000000 +00:00,DK-DK1,"(84,323,56,,1,,8,512,1,1314,,)",,entsoe.eu
2024-06-06 08:05:02.138039 +00:00,2024-06-06 08:05:02.138039 +00:00,2024-06-06 06:00:00.000000 +00:00,DK-DK1,"(84,302,56,,1,,8,838,1,1342,,)",,entsoe.eu
2024-06-06 09:05:04.948982 +00:00,2024-06-06 09:05:04.948982 +00:00,2024-06-06 07:00:00.000000 +00:00,DK-DK1,"(86,167,53,,1,,8,1073,1,1780,,)",,entsoe.eu
2024-06-06 10:04:57.661926 +00:00,2024-06-06 10:04:57.661926 +00:00,2024-06-06 08:00:00.000000 +00:00,DK-DK1,"(70,181,47,,1,,9,1290,1,1716,,)",,entsoe.eu
2024-06-06 11:05:19.987927 +00:00,2024-06-06 11:05:19.987927 +00:00,2024-06-06 09:00:00.000000 +00:00,DK-DK1,"(83,220,42,,1,,7,1108,1,1460,,)",,entsoe.eu
2024-06-06 12:05:42.155102 +00:00,2024-06-06 12:05:42.155102 +00:00,2024-06-06 10:00:00.000000 +00:00,DK-DK1,"(84,153,42,,1,,7,1510,1,1418,,)",,entsoe.eu
2024-06-06 13:05:11.208378 +00:00,2024-06-06 13:05:11.208378 +00:00,2024-06-06 11:00:00.000000 +00:00,DK-DK1,"(85,181,40,,1,,7,1689,1,1434,,)",,entsoe.eu
2024-06-06 14:05:07.894025 +00:00,2024-06-06 14:05:07.894025 +00:00,2024-06-06 12:00:00.000000 +00:00,DK-DK1,"(84,157,42,,1,,7,1653,1,1373,,)",,entsoe.eu
2024-06-06 15:08:33.589481 +00:00,2024-06-06 15:08:33.589481 +00:00,2024-06-06 13:00:00.000000 +00:00,DK-DK1,"(70,236,48,,1,,9,1558,1,1544,,)",,entsoe.eu
2024-06-06 16:05:01.342332 +00:00,2024-06-06 16:05:01.342332 +00:00,2024-06-06 14:00:00.000000 +00:00,DK-DK1,"(72,332,56,,1,,9,1291,1,1464,,)",,entsoe.eu
